gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,1,0,0,-1.1188008067964355,1,0,-0.1813595901719331,-0.8841954478807754,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,1,-1.1188008067964355,1,1,-0.5132032883397971,-0.9083436263503489,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,-1.2409180113122174,1,0,-0.48001891852301065,-0.9562009254991403,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,-0.10115743583158582,1,0,0.08411536836235807,-0.1320894530011472,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
1,0,1,0,0.14307697319997809,1,1,1.013277723232377,0.5150817299834249,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,1,1,0.9164859351332638,1,1,0.15048410799593087,0.67665499683439,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,-0.06045170099299184,1,1,0.6482496552477268,0.13705297248700932,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,1,1,1,-0.1825689055087738,0,1,-0.9777844657748066,-0.5830018036966393,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,-0.6710377235719016,1,0,-1.5419187526601754,-0.867072194056896,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
1,0,0,0,-1.0780950719578415,1,0,-1.4755500130266026,-0.9531275209666491,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
1,1,1,0,-0.22327464034736777,1,1,0.6814340250645132,-0.03549673912285284,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0,1.0386031396490458,1,1,-1.3096281639426706,-0.3630338507283418,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
1,0,1,1,1.6084834273893616,1,1,1.3119370515834547,2.3845898013187763,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0
0,0,0,0,-0.1825689055087738,0,1,-0.9777844657748066,-0.58827049718091,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
1,0,1,1,0.30589991255435406,1,1,0.6814340250645132,0.46283385293107476,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
1,0,0,0,-1.2816237461508113,1,0,-1.4755500130266026,-1.0014238779057962,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,0,0,-1.1188008067964355,1,1,0.5155121759805812,-0.8293132240862899,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,-1.2816237461508113,1,1,0.15048410799593087,-0.979910046178358,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,1,-0.8338606629262776,1,1,1.3451214214002412,-0.4504063510091626,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
1,0,0,0,-1.1188008067964355,1,1,1.0464620930491635,-0.8113118546816988,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,1,0,1.5677776925507676,1,1,0.7146183948812996,1.643899308988401,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
1,0,0,0,-1.2002122764736234,1,1,0.3827746967134356,-0.9100998575117725,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,-0.10115743583158582,1,0,-1.508734382843389,-0.7226221810298104,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
0,0,1,0,-0.30468611002455576,1,1,-1.4755500130266026,-0.787602734002481,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
1,0,1,1,0.7943687306174818,1,0,-1.342812533759457,-0.4258191147492332,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
0,1,0,0,0.5501343215859179,1,1,1.5110432704841732,1.1297626364816615,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0
1,0,0,0,-0.9559778674420595,1,1,0.18366847781271725,-0.7480875328704515,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,-0.5489205190561197,1,1,0.7146183948812996,-0.3235186495963123,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,-0.8338606629262776,1,1,-0.5132032883397971,-0.7419407238054692,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,0,0.5094285867473239,1,1,1.1128308326827363,0.9765314676474584,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
0,0,1,1,0.14307697319997809,1,1,1.3119370515834547,0.6072838659581604,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0,0.22448844287716607,1,1,1.013277723232377,0.6103572704906516,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,1,1,-1.2816237461508113,1,0,-1.508734382843389,-1.0018629356961521,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
1,0,1,0,-0.9152721326034655,1,1,1.1128308326827363,-0.5549021051138628,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1,0,1,1,-0.7931549280876836,1,0,-0.679125137423729,-0.7647717289039752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,-0.5896262538947137,1,1,0.581880915614154,-0.38454768245578014,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0
0,0,1,0,0.18378270803857208,0,0,-0.6459407676069426,-0.3107859736759917,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
1,0,0,1,-1.1188008067964355,1,0,-1.4755500130266026,-0.9566399832894962,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0
1,0,0,0,-0.8745663977648716,1,0,0.31640595707986285,-0.6523729345728689,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,1.2828375486806096,1,1,1.1460152024995227,1.6992205905732423,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
1,0,0,0,-1.2816237461508113,1,0,-0.31409706943907867,-0.9860568552433403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,1,1,0,0.18378270803857208,1,1,0.913724613782018,0.514642672193069,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,1,1,0.631545791263106,1,1,1.3451214214002412,1.1837667446954352,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,1,1,0,-0.5082147842175256,1,1,0.9800933534155908,-0.1764342898270914,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,-0.2639803751859618,1,1,0.15048410799593087,-0.21990101107232385,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,-0.10115743583158582,1,0,-1.508734382843389,-0.7564296308872134,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
0,0,0,0,1.4863662228735797,1,1,0.050930998545571676,0.9993624727459642,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
1,0,1,1,1.2421318138420157,1,1,0.8141715043316587,1.4472014189089653,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
1,0,1,0,-1.1188008067964355,1,0,-1.508734382843389,-0.9548837521280726,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
1,0,1,0,0.26519417771576004,1,1,-1.4755500130266026,-0.6633493793317661,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
1,0,0,1,-1.1595065416350294,1,1,1.2123839421330955,-0.8503879980233724,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,1,0,1.1200146093262338,1,0,1.2123839421330955,1.6535585803762305,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0
1,0,1,1,-0.5489205190561197,1,0,1.2787526817666683,-0.12682075951687657,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,1,0,-0.8745663977648716,1,1,1.245568311949882,-0.5074838637554274,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
0,1,0,0,-0.06045170099299184,1,1,1.1460152024995227,0.3886330863609305,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,0,0,-0.10115743583158582,1,1,0.6482496552477268,0.060217859174729736,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0.8350744654560759,1,0,-1.342812533759457,-0.44865011984773906,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
0,0,0,0,-1.1188008067964355,1,1,0.8141715043316587,-0.8077993923588517,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1,1,0,0,0.7536629957788878,1,1,0.48232780616379484,0.7346106251613665,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,1.5677776925507676,1,0,0.8141715043316587,1.794496131080469,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,0,1,1.1607203441648277,1,1,-1.3096281639426706,-0.35249646375980065,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
1,1,0,0,-0.9966836022806536,1,1,0.31640595707986285,-0.7441360127572486,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,0,-0.9152721326034655,1,1,-0.3472814392558651,-0.7608202087907722,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,0,-0.8338606629262776,0,1,-0.5132032883397971,-0.7393063770633339,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0,1,0,1.3642490183577978,1,0,-0.04862211090478751,0.8619373843645728,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,0,0,0,-0.3453918448631497,1,0,-0.14817522035514671,-0.37796181560044184,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,1,-1.1595065416350294,1,0,-0.2809126996222923,-0.9070264529792813,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,-1.1595065416350294,1,1,0.7809871345148723,-0.8543395181365753,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,1,0.1023712383613841,1,0,-0.31409706943907867,-0.12506452835545304,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,0,0,0.5094285867473239,1,1,0.6814340250645132,0.6485552982516134,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,1.3235432835192036,1,1,1.5110432704841732,2.1237894738473813,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0
0,0,1,1,-0.7524491932490895,1,1,0.5155121759805812,-0.5044104592229363,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,1,1.1607203441648277,0,1,-0.48001891852301065,0.34560542290605395,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
1,0,1,1,1.4456604880349857,1,0,0.5155121759805812,1.3497305894499592,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0,0,1,1,-0.38609757970174374,1,1,-0.24772832980550588,-0.44733294647667143,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,0,0,0.9164859351332638,1,1,0.5486965457973676,0.9695065430017642,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,1,1,1.4863662228735797,1,0,-1.342812533759457,-0.25590374988150627,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,0,1,0,-1.0373893371192475,1,0,0.5486965457973676,-0.7555515153065016,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
0,0,1,1,1.6084834273893616,1,0,0.48232780616379484,1.5055961050262978,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,1,1.1607203441648277,1,1,-0.5132032883397971,0.28984508353085675,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,0,1.2828375486806096,1,0,0.5155121759805812,1.192547900502553,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0,1,1,0,-0.019745966154397852,1,1,0.9469089835988044,0.2766733498201802,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,-1.2816237461508113,1,1,0.48232780616379484,-0.9755194682747992,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,-1.2002122764736234,1,1,0.581880915614154,-0.9162466665767549,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,0,1,-1.2002122764736234,1,0,-1.4755500130266026,-0.9882521441951198,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
0,0,1,0,1.6084834273893616,1,1,0.6482496552477268,1.666291256296551,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,0,1,-0.2639803751859618,0,1,-1.176890684675525,-0.6651056104931896,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0.26519417771576004,1,1,1.1791995723163091,0.6586536274297988,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0
0,0,0,0,-1.2816237461508113,1,0,-1.508734382843389,-1.0018629356961521,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,0,0,-1.2816237461508113,1,1,-1.508734382843389,-1.0018629356961521,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,1,1,0.9571916699718578,1,0,0.7809871345148723,1.1710340687751146,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
0,1,1,0,0.428017117070136,1,1,1.411490161033814,0.9800439299703054,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0
0,0,0,1,-1.2816237461508113,1,0,-1.3096281639426706,-0.9992285889540168,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
1,0,0,0,-0.1418631706701798,1,0,0.18366847781271725,-0.14789553345395898,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0
1,0,0,0,-1.2409180113122174,1,1,0.581880915614154,-0.9294184002874314,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,1.4456604880349857,1,0,0.48232780616379484,1.3874895594205652,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0,1,1,1.4049547531963917,1,1,0.8141715043316587,1.7879102642251308,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,1,-0.5489205190561197,1,1,-1.342812533759457,-0.8051650456167164,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
1,0,1,1,1.3642490183577978,0,1,-0.2809126996222923,0.6178212529267016,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0
0,0,1,0,-1.1595065416350294,0,1,-1.176890684675525,-0.953566578757005,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,-0.9559778674420595,1,0,-1.508734382843389,-0.9180028977381784,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
1,1,1,0,0.8350744654560759,1,1,1.2787526817666683,1.3980269463891064,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,-0.38609757970174374,1,1,-1.508734382843389,-0.8038478722456487,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,1,0,0.7129572609402939,1,0,1.4446745308506004,1.452909170183592,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0
1,0,0,0,-1.2409180113122174,1,0,0.31640595707986285,-0.9439073073691755,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,1.0793088744876398,1,0,-1.4755500130266026,-0.4539188133320097,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
1,0,1,1,1.2421318138420157,1,0,0.6150652854309404,1.3760740568713121,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0
0,0,1,0,-0.30468611002455576,1,1,0.21685284762950366,-0.20365587282915618,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
0,0,0,0,-0.7524491932490895,1,1,0.5155121759805812,-0.5395350824514069,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,1,0,1.3235432835192036,1,0,0.08411536836235807,0.8816949849305875,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
1,1,1,0,1.4863662228735797,0,0,-0.2809126996222923,0.7249513537735371,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0
0,0,1,1,-0.4675090493789317,1,1,0.31640595707986285,-0.32307959180595647,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0.428017117070136,1,1,0.8805402439652316,0.751733878985246,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
1,1,1,0,1.5677776925507676,1,1,0.913724613782018,1.880990515780578,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0
1,0,0,1,-0.5489205190561197,0,1,-1.3096281639426706,-0.7616983243714839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0.30589991255435406,1,0,-1.508734382843389,-0.6457870677175307,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
0,0,0,0,-0.9559778674420595,1,1,0.6150652854309404,-0.6576416280571395,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,1.0386031396490458,1,1,1.2787526817666683,1.6316056908584362,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
0,0,0,0,-1.2816237461508113,1,0,-1.508734382843389,-1.0018629356961521,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
1,0,1,1,0.590840056424512,1,1,1.6105963799345322,1.324265237609318,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0
0,0,1,0,1.0386031396490458,1,1,0.6482496552477268,1.1482030636766087,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
1,0,0,0,0.30589991255435406,1,1,1.245568311949882,0.7934443690690549,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
0,0,0,0,0.346605647392948,1,1,0.11729973817914446,0.25296422914096256,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0
1,0,1,0,1.4049547531963917,1,1,1.1791995723163091,1.9459710687532485,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0
1,1,0,0,0.06166550352279012,1,1,1.1460152024995227,0.4575651594468042,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0
1,0,0,0,-1.2002122764736234,1,1,-1.508734382843389,-0.9869349708240521,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,1,1,0,1.1200146093262338,1,1,1.7101494893848914,2.0302701645015784,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
0,1,0,0,-0.9966836022806536,1,1,0.913724613782018,-0.690131904543475,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1,0,1,1,-0.7117434584104956,1,1,0.31640595707986285,-0.524168059788951,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1.4456604880349857,1,1,1.245568311949882,2.128619109541296,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
1,1,1,0,1.5677776925507676,1,0,-1.3096281639426706,-0.22473064676623858,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
0,0,0,0,1.0386031396490458,1,1,0.48232780616379484,0.9769705254378143,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,-1.2409180113122174,1,0,-1.508734382843389,-0.9939598954697463,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
0,0,1,1,-0.7524491932490895,1,1,0.8141715043316587,-0.4798232229630068,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
0,0,1,0,1.5677776925507676,1,1,-1.4755500130266026,-0.35469175271158004,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
1,0,0,0,-0.7524491932490895,1,1,1.1791995723163091,-0.3889382603593389,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,-1.0780950719578415,0,0,-0.48001891852301065,-0.8754142920736577,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
1,0,1,1,-0.7117434584104956,1,1,0.15048410799593087,-0.5399741402417628,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1
1,0,1,1,0.9978974048104517,1,1,1.07964646286595,1.4476404766993212,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0
0,0,0,0,1.3642490183577978,1,1,-0.1149908505383603,0.7534901101466696,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
1,1,1,0,1.4863662228735797,1,1,0.8141715043316587,1.6869269724432776,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,1.4456604880349857,1,0,-0.31409706943907867,0.6792893435765253,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,1,0,1,0.9571916699718578,1,0,0.9800933534155908,1.3009951747204562,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
1,1,0,0,0.1023712383613841,1,1,1.1460152024995227,0.48039616454531014,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,1,1,0.428017117070136,1,0,-0.2809126996222923,0.08700038438643863,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,1,0,-0.06045170099299184,1,1,0.050930998545571676,-0.1237473549843854,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
0,0,1,1,0.020959768684196134,1,1,-0.2145439599887195,-0.15184705356716194,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,-1.2816237461508113,1,1,0.15048410799593087,-0.979910046178358,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0.46872285190873,1,0,1.1791995723163091,0.9119899724651435,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
0,0,1,1,0.9978974048104517,1,0,-0.3804658090726515,0.330238400243598,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,0,1,1.5270719577121736,1,0,-0.015437741088001118,0.9879469701967113,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
1,0,0,0,-1.2816237461508113,1,0,-1.4755500130266026,-1.0014238779057962,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0
1,0,1,1,0.9164859351332638,1,1,-0.31409706943907867,0.3592162144070863,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
